id,code,uic,name_long,slug,country,type,geo_lat,geo_lng,municipalities,tot_pop
43,ASD,8400058,Amsterdam Centraal,amsterdam-centraal,NL,megastation,52.378887176514,4.9002776145935,['Amsterdam'],853312.0
411,RTD,8400530,Rotterdam Centraal,rotterdam-centraal,NL,megastation,51.92499923706,4.468888759613,['Rotterdam'],618467.0
213,GV,8400280,Den Haag HS,den-haag-hs,NL,knooppuntIntercitystation,52.069721221924,4.3225002288818,"[""'s-Gravenhage""]",508592.0
422,SDM,8400553,Schiedam Centrum,schiedam-centrum,NL,stoptreinstation,51.921243812803,4.4089937210083,"['Albrandswaard', 'Goeree-Overflakkee', 'Hellevoetsluis', 'Korendijk', 'Maassluis', 'Nissewaard', 'Schiedam', 'Vlaardingen']",387614.0
470,UTM,8400624,Utrecht Maliebaan,utrecht-maliebaan,NL,stoptreinstation,52.087776184082,5.1313886642456,['Utrecht'],328577.0
453,TB,8400597,Tilburg,tilburg,NL,knooppuntIntercitystation,51.560554504395,5.0836110115051,"['Goirle', 'Hilvarenbeek', 'Reusel-De Mierden', 'Tilburg']",261252.0
61,BD,8400131,Breda,breda,NL,knooppuntIntercitystation,51.595554351807,4.7800002098083,"['Breda', 'Geertruidenberg', 'Oosterhout']",255329.0
168,EHV,8400206,Eindhoven Centraal,eindhoven-centraal,NL,megastation,51.443332672119,5.4813890457153,"['Eindhoven', 'Waalre']",237586.0
204,GN,8400263,Groningen,groningen,NL,knooppuntIntercitystation,53.210556030273,6.5647220611572,['Groningen'],198108.0
21,ALMP,8400104,Almere Parkwijk,almere-parkwijk,NL,stoptreinstation,52.376667022705,5.244722366333,['Almere'],196156.0
762,NMGO,8400477,Nijmegen Goffert,nijmegen-goffert,NL,stoptreinstation,51.8273,5.822722,['Nijmegen'],168499.0
178,ES,8400212,Enschede,enschede,NL,knooppuntIntercitystation,52.222499847412,6.8899998664856,['Enschede'],158542.0
98,BRD,8400090,Barendrecht,barendrecht,NL,stoptreinstation,51.854721069336,4.5533332824707,"['Barendrecht', 'Binnenmaas', 'Cromstrijen', 'Oud-Beijerland', 'Ridderkerk']",157739.0
31,APD,8400066,Apeldoorn,apeldoorn,NL,knooppuntIntercitystation,52.209167480469,5.9702777862549,['Apeldoorn'],157535.0
244,HLM,8400285,Haarlem,haarlem,NL,knooppuntIntercitystation,52.38777923584,4.6383333206177,['Haarlem'],155205.0
144,DT,8400170,Delft,delft,NL,knooppuntIntercitystation,52.00666809082,4.3563890457153,"['Delft', 'Pijnacker-Nootdorp']",152561.0
407,RSW,8400505,Rijswijk,rijswijk,NL,stoptreinstation,52.039722442627,4.3191666603088,"['Rijswijk', 'Westland']",151015.0
23,AMF,8400055,Amersfoort Centraal,amersfoort-centraal,NL,knooppuntIntercitystation,52.153888702393,5.3705554008484,['Amersfoort'],150943.0
802,KZ,8400363,Koog aan de Zaan,koog-aan-de-zaan,NL,stoptreinstation,52.458610534668,4.8055553436279,['Zaanstad'],150911.0
6,AH,8400071,Arnhem Centraal,arnhem-centraal,NL,knooppuntIntercitystation,51.985000610352,5.8991665840149,['Arnhem'],150817.0
247,HM,8400313,Helmond,helmond,NL,knooppuntIntercitystation,51.475555419922,5.6619443893433,"['Boekel', 'Gemert-Bakel', 'Helmond', 'Laarbeek']",150604.0
232,HFD,8400332,Hoofddorp,hoofddorp,NL,stoptreinstation,52.293334960938,4.7005553245544,['Haarlemmermeer'],144166.0
308,LEDN,8400390,Leiden Centraal,leiden-centraal,NL,knooppuntIntercitystation,52.166110992432,4.4816665649414,"['Leiden', 'Oegstgeest']",144054.0
269,HTO,8400320,'s-Hertogenbosch Oost,s-hertogenbosch-oost,NL,stoptreinstation,51.700553894043,5.3183331489563,"[""'s-Hertogenbosch""]",143745.0
784,EHS,8400196,Eindhoven Strijp-S,eindhoven-strijp-s,NL,stoptreinstation,51.451110839844,5.4558334350586,"['Bergeijk', 'Bladel', 'Eersel', 'Son en Breugel', 'Stede Broec', 'Veldhoven']",138127.0
75,BGN,8400108,Bergen op Zoom,bergen-op-zoom,NL,stoptreinstation,51.49388885498,4.2961111068726,"['Bergen op Zoom', 'Steenbergen', 'Tholen', 'Woensdrecht']",136884.0
532,ZL,8400747,Zwolle,zwolle,NL,knooppuntIntercitystation,52.504722595215,6.0919442176819,"['Hattem', 'Zwolle']",134953.0
260,HR,8400305,Heerenveen,heerenveen,NL,intercitystation,52.961387634277,5.9141664505005,"['De Fryske Marren', 'Heerenveen', 'Opsterland']",130505.0
26,AMR,8400050,Alkmaar,alkmaar,NL,knooppuntIntercitystation,52.63777923584,4.7397222518921,"['Alkmaar', 'Bergen (NH.)']",124981.0
536,ZTMO,8400740,Zoetermeer Oost,zoetermeer-oost,NL,stoptreinstation,52.046390533447,4.4927778244019,['Zoetermeer'],123614.0
342,MT,8400424,Maastricht,maastricht,NL,knooppuntIntercitystation,50.850276947021,5.7055554389954,['Maastricht'],122331.0
124,DDR,8400180,Dordrecht,dordrecht,NL,knooppuntIntercitystation,51.807220458984,4.668333530426,['Dordrecht'],118716.0
49,ASN,8400073,Assen,assen,NL,knooppuntIntercitystation,52.991664886475,6.5708332061768,"['Aa en Hunze', 'Assen', 'Ooststellingwerf']",118124.0
387,PMO,8400506,Purmerend Overwhere,purmerend-overwhere,NL,stoptreinstation,52.511390686035,4.9683332443237,"['Beemster', 'Edam-Volendam', 'Purmerend']",117405.0
383,OW,8400496,Oss West,oss-west,NL,stoptreinstation,51.758056640625,5.5055556297302,"['Bernheze', 'Oss']",114742.0
163,EDC,8400201,Ede Centrum,ede-centrum,NL,stoptreinstation,52.043609619141,5.668333530426,['Ede'],110657.0
122,DB,8400182,Driebergen-Zeist,driebergen-zeist,NL,knooppuntStoptreinstation,52.065277099609,5.25861120224,"['Utrechtse Heuvelrug', 'Zeist']",109276.0
321,LW,8400387,Leeuwarden,leeuwarden,NL,knooppuntIntercitystation,53.195835113525,5.7922220230103,['Leeuwarden'],108113.0
174,EMNZ,8400407,Emmen Zuid,emmen-zuid,NL,sneltreinstation,52.748866374691,6.8747806549072,['Emmen'],108003.0
36,APN,8400053,Alphen a/d Rijn,alphen-a-d-rijn,NL,knooppuntIntercitystation,52.124443054199,4.6577777862549,['Alphen aan den Rijn'],106809.0
682,DRON,8400198,Dronten,dronten,NL,stoptreinstation,52.5344,5.72089,"['Dronten', 'Noordoostpolder', 'Urk']",106310.0
483,VH,8400655,Voorhout,voorhout,NL,stoptreinstation,52.224445343018,4.4844446182251,"['Katwijk', 'Noordwijk', 'Noordwijkerhout']",104496.0
487,VL,8400644,Venlo,venlo,NL,knooppuntIntercitystation,51.363609313965,6.1727776527405,['Venlo'],100381.0
153,DV,8400173,Deventer,deventer,NL,knooppuntIntercitystation,52.257499694824,6.1605553627014,['Deventer'],98327.0
350,NDB,8400452,Naarden-Bussum,naarden-bussum,NL,knooppuntStoptreinstation,52.280277252197,5.1569442749023,"['Gooise Meren', 'Huizen']",97926.0
119,CPS,8400147,Capelle Schollevaar,capelle-schollevaar,NL,stoptreinstation,51.954166412354,4.5841665267944,"['Capelle aan den IJssel', 'Krimpen aan den IJssel']",94991.0
440,STD,8400564,Sittard,sittard,NL,knooppuntIntercitystation,51.001667022705,5.8586111068726,['Sittard-Geleen'],93806.0
25,AML,8400051,Almelo,almelo,NL,knooppuntIntercitystation,52.358055114746,6.6538887023926,"['Almelo', 'Tubbergen']",93651.0
427,SGN,8400549,Schagen,schagen,NL,stoptreinstation,52.784442901611,4.8052778244019,"['Hollands Kroon', 'Schagen']",93517.0
211,GS,8400253,Goes,goes,NL,stoptreinstation,51.498054504395,3.8905556201935,"['Borsele', 'Goes', 'Schouwen-Duiveland']",93390.0
541,ZWD,8400752,Zwijndrecht,zwijndrecht,NL,stoptreinstation,51.814998626709,4.6416668891907,"['Alblasserdam', 'Hendrik-Ido-Ambacht', 'Zwijndrecht']",93320.0
261,HRL,8400307,Heerlen,heerlen,NL,knooppuntIntercitystation,50.89083480835,5.9749999046326,['Heerlen'],88202.0
271,HVS,8400322,Hilversum,hilversum,NL,knooppuntIntercitystation,52.225833892822,5.1819443702698,['Hilversum'],86574.0
46,ASDZ,8400061,Amsterdam Zuid,amsterdam-zuid,NL,intercitystation,52.338889,4.872356,['Amstelveen'],85135.0
509,WK,8400706,Workum,workum,NL,stoptreinstation,52.9724864,5.4564285,['Súdwest-Fryslân'],84258.0
814,HRNOVT,8400290,Haren OV Transferium,haren-ov-transferium,NL,facultatiefStation,53.170071,6.592202,"['Haren', 'Noordenveld', 'Tynaarlo']",82406.0
233,HGL,8400316,Hengelo,hengelo,NL,knooppuntIntercitystation,52.261665344238,6.7938890457153,['Hengelo'],80975.0
274,HWD,8400306,Heerhugowaard,heerhugowaard,NL,knooppuntStoptreinstation,52.669723510742,4.8227777481079,"['Heerhugowaard', 'Langedijk']",80230.0
235,HGV,8400330,Hoogeveen,hoogeveen,NL,stoptreinstation,52.733890533447,6.4736108779907,"['De Wolden', 'Hoogeveen']",78272.0
402,RM,8400523,Roermond,roermond,NL,knooppuntIntercitystation,51.193054199219,5.9941668510437,"['Roerdalen', 'Roermond']",77838.0
210,GR,8400256,Gorinchem,gorinchem,NL,knooppuntStoptreinstation,51.833889007568,4.9683332443237,"['Aalburg', 'Giessenlanden', 'Gorinchem', 'Woudrichem']",76941.0
405,RSD,8400526,Roosendaal,roosendaal,NL,knooppuntIntercitystation,51.540279388428,4.4583334922791,['Roosendaal'],76930.0
313,LLS,8400394,Lelystad Centrum,lelystad-centrum,NL,knooppuntIntercitystation,52.507778167725,5.4727778434753,['Lelystad'],76170.0
786,FWD,8400638,Feanwâlden,feanwalden,NL,stoptreinstation,53.2351834,5.9886615,"['Dantumadiel', 'Smallingerland']",74531.0
503,WD,8400702,Woerden,woerden,NL,knooppuntStoptreinstation,52.084999084473,4.8936109542847,"['Montfoort', 'Oudewater', 'Woerden']",74114.0
215,GVM,8400278,Den Haag Mariahoeve,den-haag-mariahoeve,NL,stoptreinstation,52.090557098389,4.3694443702698,['Leidschendam-Voorburg'],73392.0
543,VDM,8400636,Veendam,veendam,NL,knooppuntStoptreinstation,53.10324,6.88475,"['Pekela', 'Stadskanaal', 'Veendam']",73321.0
252,HN,8400337,Hoorn,hoorn,NL,knooppuntIntercitystation,52.644721984863,5.0555553436279,['Hoorn'],71741.0
195,GD,8400258,Gouda,gouda,NL,knooppuntIntercitystation,52.017501831055,4.7044444084167,['Gouda'],70923.0
229,HDR,8400311,Den Helder,den-helder,NL,intercitystation,52.955276489258,4.7611112594605,"['Den Helder', 'Texel']",70119.0
493,VS,8400652,Vlissingen,vlissingen,NL,knooppuntIntercitystation,51.445835113525,3.5952777862549,"['Sluis', 'Vlissingen']",68245.0
268,HTNC,8400335,Houten Castellum,houten-castellum,NL,stoptreinstation,52.01701,5.17949,"['Houten', 'Vianen']",68000.0
295,KRD,8400355,Kerkrade Centrum,kerkrade-centrum,NL,knooppuntStoptreinstation,50.861667633057,6.0574998855591,"['Kerkrade', 'Simpelveld', 'Vaals']",67299.0
225,HD,8400294,Harderwijk,harderwijk,NL,knooppuntStoptreinstation,52.337501525879,5.619722366333,"['Harderwijk', 'Zeewolde']",67284.0
142,DRH,8400183,Driehuis,driehuis,NL,stoptreinstation,52.442501068115,4.6380553245544,['Velsen'],67231.0
112,BZL,8400354,Kapelle-Biezelinge,kapelle-biezelinge,NL,stoptreinstation,51.480834960938,3.9561111927033,"['Kapelle', 'Terneuzen']",67219.0
137,DN,8400172,Deurne,deurne,NL,stoptreinstation,51.455833435059,5.7888889312744,"['Asten', 'Deurne', 'Someren']",66848.0
816,WADT,8400677,Waddinxveen Triangel,waddinxveen-triangel,NL,stoptreinstation,52.02725,4.6491,"['Waddinxveen', 'Zuidplas']",66398.0
517,WT,8400684,Weert,weert,NL,intercitystation,51.248611450195,5.7036108970642,"['Nederweert', 'Weert']",65500.0
327,MAS,8400419,Maarssen,maarssen,NL,stoptreinstation,52.135276794434,5.0336112976074,['Stichtse Vecht'],63823.0
185,ETN,8400218,Etten-Leur,etten-leur,NL,intercitystation,51.57500076294,4.6358332633972,"['Etten-Leur', 'Zundert']",63725.0
528,ZBM,8400732,Zaltbommel,zaltbommel,NL,stoptreinstation,51.80888748169,5.2633333206177,"['Maasdriel', 'Neerijnen', 'Zaltbommel']",63426.0
489,VNDC,8400627,Veenendaal Centrum,veenendaal-centrum,NL,knooppuntStoptreinstation,52.020000457764,5.548611164093,['Veenendaal'],63207.0
239,HKS,8400334,Hoogkarspel,hoogkarspel,NL,stoptreinstation,52.69055557251,5.1838889122009,"['Drechterland', 'Medemblik']",62588.0
450,SWK,8400578,Steenwijk,steenwijk,NL,intercitystation,52.791510992432,6.1145557632446,"['Steenwijkerland', 'Westerveld']",62274.0
218,GZ,8400251,Gilze-Rijen,gilze-rijen,NL,stoptreinstation,51.583610534668,4.9261112213135,"['Alphen-Chaam', 'Dongen', 'Gilze en Rijen']",61114.0
267,HTN,8400340,Houten,houten,NL,knooppuntStoptreinstation,52.03402,5.16821,['Nieuwegein'],61017.0
458,TL,8400596,Tiel,tiel,NL,knooppuntStoptreinstation,51.889446258545,5.4222221374512,"['Tiel', 'West Maas en Waal']",60120.0
63,BDG,8400121,Bodegraven,bodegraven,NL,stoptreinstation,52.081390380859,4.7461109161377,"['Bodegraven-Reeuwijk', 'Nieuwkoop']",60100.0
226,HDB,8400293,Hardenberg,hardenberg,NL,sneltreinstation,52.572776794434,6.6286110877991,['Hardenberg'],59592.0
428,SHL,8400561,Schiphol Airport,schiphol-airport,NL,megastation,52.30944442749,4.7619442939758,"['Aalsmeer', 'Uithoorn']",59199.0
