municipality,province,population,latitude,longitude
Aa en Hunze,Drenthe,25243.0,53.010485,6.749528
Aalburg,Noord-Brabant,12859.0,51.751294,5.057085
Aalsmeer,Noord-Holland,30792.0,52.262164,4.761922
Aalten,Gelderland,27030.0,51.926667,6.580678
Achtkarspelen,Friesland,28002.0,53.210357,6.153565
Alblasserdam,Zuid-Holland,19822.0,51.870337,4.670202
Albrandswaard,Zuid-Holland,25044.0,51.858068,4.423187
Alkmaar,Noord-Holland,94906.0,52.632842,4.755037
Almelo,Overijssel,72435.0,52.367027,6.668492
Almere,Flevoland,196156.0,52.350785,5.264702
Alphen aan den Rijn,Zuid-Holland,106809.0,52.111222,4.647251
Alphen-Chaam,Noord-Brabant,9712.0,51.509135,4.861589
Ameland,Friesland,3565.0,53.440564,5.658766
Amersfoort,Utrecht,150943.0,52.156111,5.387827
Amstelveen,Noord-Holland,85135.0,52.311421,4.870087
Amsterdam,Noord-Holland,853312.0,52.370216,4.895168
Apeldoorn,Gelderland,157535.0,52.211157,5.969923
Appingedam,Groningen,12049.0,53.320678,6.854422
Arnhem,Gelderland,150817.0,51.985103,5.89873
Assen,Drenthe,67209.0,52.992753,6.564228
Asten,Noord-Brabant,16479.0,51.402994,5.744078
Baarle-Nassau,Noord-Brabant,6617.0,51.445137,4.929523
Baarn,Utrecht,24344.0,52.213182,5.28641
Barendrecht,Zuid-Holland,47375.0,51.851509,4.548581
Barneveld,Gelderland,54176.0,52.162147,5.65536
Bedum,Groningen,10475.0,53.301675,6.599829
Beek,Limburg,16268.0,50.939316,5.795647
Beemster,Noord-Holland,8919.0,52.547559,4.913332
Beesel,Limburg,13593.0,51.269698,6.046834
Berg en Dal,Gelderland,18956.0,51.818121,5.920082
Bergeijk,Noord-Brabant,18250.0,51.319716,5.3575
Bergen (L.),Limburg,13230.0,51.599866,6.032998
Bergen (NH.),Noord-Holland,30075.0,52.674937,4.706395
Bergen op Zoom,Noord-Brabant,66423.0,51.494576,4.287162
Berkelland,Gelderland,44650.0,52.115157,6.561501
Bernheze,Noord-Brabant,29703.0,51.660272,5.501401
Best,Noord-Brabant,28594.0,51.507764,5.397848
Beuningen,Gelderland,25254.0,51.859724,5.769107
