station,municipality,type
HT,'s-Hertogenbosch,services
HTO,'s-Hertogenbosch,services
HDE,Oldebroek,services
ATN,Aalten,services
AC,Ouder-Amstel,services
AKM,Heerenveen,services
AMR,Alkmaar,services
AMRN,Alkmaar,services
AML,Almelo,services
AMRI,Almelo,services
ALMB,Almere,services
ALM,Almere,services
ALMM,Almere,services
ALMO,Almere,services
ALMP,Almere,services
AMPO,Gooise Meren,services
APN,Alphen aan den Rijn,services
AMF,Amersfoort,services
AMFS,Amersfoort,services
AVAT,Nijkerk,services
ASA,Diemen,services
ASB,Diemen,services
ASD,Amsterdam,services
ASHD,Ouder-Amstel,services
ASDL,Amsterdam,services
ASDM,Amsterdam,services
RAI,Amstelveen,services
ASSP,Diemen,services
ASS,Amsterdam,services
VMW,Diemen,services
ASDZ,Amstelveen,services
ANA,Schagen,services
APD,Apeldoorn,services
APDM,Apeldoorn,services
APDO,Apeldoorn,services
APG,Appingedam,services
AKL,Gorinchem,services
ARN,Middelburg,services
AH,Arnhem,services
AHPR,Rozendaal,services
AHP,Arnhem,services
AHZ,Arnhem,services
ASN,Assen,services
BRN,Baarn,services
NSCH,Oldambt,services
BF,Winsum,services
BRD,Barendrecht,services
BNC,Barneveld,services
BNN,Barneveld,services
BNZ,Barneveld,services
BDM,Bedum,services
BK,Beek,services
BSD,Geldermalsen,services
BL,Midden-Drenthe,services
BGN,Bergen op Zoom,services
BET,Best,services
BV,Beverwijk,services
BHV,De Bilt,services
BR,Venlo,services
BLL,Bloemendaal,services
BDG,Bodegraven-Reeuwijk,services
BN,Borne,services
BSK,Alphen aan den Rijn,services
BSKS,Waddinxveen,services
BHDV,Werkendam,services
BKF,Enkhuizen,services
BKG,Enkhuizen,services
BMR,Boxmeer,services
BTL,Boxtel,services
BD,Breda,services
BDPB,Etten-Leur,services
BKL,Stichtse Vecht,services
BMN,Brummen,services
BP,Achtkarspelen,services
BDE,Meerssen,services
BNK,Bunnik,services
BSMZ,Hilversum,services
CPS,Capelle aan den IJssel,services
CAS,Castricum,services
CVM,Kerkrade,services
CO,Coevorden,services
CK,Cuijk,services
CL,Culemborg,services
DA,Twenterand,services
DLN,Coevorden,services
DL,Dalfsen,services
DVNK,Voorschoten,services
DWE,Dantumadiel,services
DEI,Leeuwarden,services
DDN,Borne,services
DT,Delft,services
DTCP,Delft,services
DZ,Delfzijl,services
DZW,Delfzijl,services
DLD,De Bilt,services
GVC,'s-Gravenhage,services
GV,'s-Gravenhage,services
LAA,'s-Gravenhage,services
GVM,Leidschendam-Voorburg,services
GVMW,'s-Gravenhage,services
YPB,Leidschendam-Voorburg,services
HDR,Den Helder,services
HDRZ,Den Helder,services
DN,Deurne,services
DV,Deventer,services
DVC,Deventer,services
DID,Zevenaar,services
DMN,Diemen,services
DMNZ,Diemen,services
DR,Doesburg,services
DTC,Doetinchem,services
DTCH,Doetinchem,services
DDR,Dordrecht,services
DDRS,Dordrecht,services
DDZD,Dordrecht,services
DB,Utrechtse Heuvelrug,services
DRH,Velsen,services
DRP,Waadhoeke,services
DRON,Dronten,services
DVN,Duiven,services
DVD,Diemen,services
EC,Echt-Susteren,services
EDC,Ede,services
ED,Ede,services
EEM,Eemsmond,services
EDN,Maastricht,services
EHV,Eindhoven,services
EHS,Eindhoven,services
EST,Overbetuwe,services
EMN,Emmen,services
EMNZ,Emmen,services
EKZ,Enkhuizen,services
ES,Enschede,services
ESE,Enschede,services
ESK,Hengelo,services
EML,Ermelo,services
ETN,Etten-Leur,services
EGH,Landgraaf,services
EGHM,Landgraaf,services
FWD,Dantumadiel,services
FN,Waadhoeke,services
GDR,Oude IJsselstreek,services
GDM,Geldermalsen,services
GP,Geldrop-Mierlo,services
GLN,Schinnen,services
LUT,Sittard-Geleen,services
GZ,Gilze en Rijen,services
GBR,Losser,services
GS,Goes,services
GO,Hof van Twente,services
GR,Gorinchem,services
GD,Gouda,services
GDG,Gouda,services
GBG,Hardenberg,services
GK,Grootegast,services
GN,Groningen,services
GERP,Groningen,services
GNN,Groningen,services
GW,Leeuwarden,services
HLM,Haarlem,services
HLMS,Haarlem,services
HWZB,Haarlemmerliede en Spaarnwoude,services
HDB,Hardenberg,services
HD,Harderwijk,services
HBZM,Hardinxveld-Giessendam,services
GND,Hardinxveld-Giessendam,services
HRN,Haren,services
HRNOVT,Haren,services
HLG,Harlingen,services
HLGH,Harlingen,services
HK,Heemskerk,services
HAD,Heemstede,services
HR,Heerenveen,services
HRY,Heerenveen,services
HWD,Heerhugowaard,services
HRL,Heerlen,services
HRLW,Heerlen,services
HZE,Heeze-Leende,services
HLO,Heiloo,services
HNO,Raalte,services
HM,Helmond,services
HMH,Helmond,services
HMBV,Geldrop-Mierlo,services
HMBH,Helmond,services
HMN,Wageningen,services
HGL,Hengelo,services
HGLG,Hengelo,services
HGLO,Hengelo,services
HIL,Hillegom,services
HVS,Hilversum,services
HVSM,Hilversum,services
HVSP,Hilversum,services
HNP,Súdwest-Fryslân,services
HB,Nuth,services
HVL,Leusden,services
HOR,Hilversum,services
HON,Rijssen-Holten,services
HFD,Haarlemmermeer,services
HGV,Hoogeveen,services
HGZ,Veendam,services
HKS,Drechterland,services
HN,Hoorn,services
HNK,Hoorn,services
HRT,Horst aan de Maas,services
HTN,Houten,services
HTNC,Houten,services
SGL,Valkenburg aan de Geul,services
HDG,Tytsjerksteradiel,services
IJT,Súdwest-Fryslân,services
KPN,Kampen,services
KPNZ,Kampen,services
BZL,Kapelle,services
KRD,Kerkrade,services
KTR,Neder-Betuwe,services
KBK,Voorst,services
KMR,Voerendaal,services
KZ,Zaanstad,services
KMW,Súdwest-Fryslân,services
KBD,Reimerswaal,services
KMA,Zaanstad,services
KW,Haren,services
KRG,Kapelle,services
ZLW,Strijen,services
LG,Landgraaf,services
LLZM,Zoetermeer,services
LDM,Leerdam,services
LW,Leeuwarden,services
LWC,Leeuwarden,services
LEDN,Leiden,services
LDL,Leiden,services
LLS,Lelystad,services
LTV,Oost Gelre,services
LC,Lochem,services
LP,Loppersum,services
LTN,Ede,services
MZ,Cranendonck,services
MRN,Woudenberg,services
MAS,Stichtse Vecht,services
MT,Maastricht,services
MTN,Maastricht,services
MTR,Maastricht,services
MG,Leeuwarden,services
MRB,Twenterand,services
MTH,Haren,services
MES,Meerssen,services
MP,Meppel,services
MDB,Middelburg,services
MMLH,Mook en Middelaar,services
NDB,Gooise Meren,services
,Emmen,services
NVP,Haarlemmermeer,services
NWK,Capelle aan den IJssel,services
NKK,Nijkerk,services
NM,Nijmegen,services
NMD,Nijmegen,services
NMGO,Nijmegen,services
NMH,Nijmegen,services
NML,Nijmegen,services
NVD,Hellendoorn,services
NS,Nunspeet,services
NH,Nuth,services
OBD,Koggenland,services
OT,Oisterwijk,services
ODZ,Oldenzaal,services
OST,Olst-Wijhe,services
OMN,Ommen,services
