code,name,daily_capacity,latitude,longitude
UT,Utrecht Centraal,422868.6875,52.088890075684,5.1102776527405
ASD,Amsterdam Centraal,366250.25,52.378887176514,4.9002776145935
SHL,Schiphol Airport,240194.1875,52.30944442749,4.7619442939758
LEDN,Leiden Centraal,223361.375,52.166110992432,4.4816665649414
GV,Den Haag HS,135838.875,52.069721221924,4.3225002288818
GD,Gouda,153052.3125,52.017501831055,4.7044444084167
RTD,Rotterdam Centraal,214614.0625,51.92499923706,4.468888759613
DT,Delft,131691.375,52.00666809082,4.3563890457153
EKZ,Enkhuizen,38753.5625,52.699165344238,5.286388874054
BKF,Bovenkarspel Flora,38753.5625,52.696109771729,5.2527775764465
BKG,Bovenkarspel-Grootebroek,38753.5625,52.694999694824,5.2377777099609
HKS,Hoogkarspel,38753.5625,52.69055557251,5.1838889122009
HNK,Hoorn Kersenboogerd,54464.625,52.653610229492,5.0855555534363
HN,Hoorn,69286.0625,52.644721984863,5.0555553436279
PMO,Purmerend Overwhere,17119.0625,52.511390686035,4.9683332443237
PMR,Purmerend,17119.0625,52.50305557251,4.9536108970642
PMW,Purmerend Weidevenne,17119.0625,52.496590632542,4.9356293678284
ZDK,Zaandam Kogerveld,17119.0625,52.456665039062,4.8202776908875
ZD,Zaandam,100807.3125,52.438888549805,4.8136110305786
ASS,Amsterdam Sloterdijk,273823.5625,52.388889312744,4.8377776145935
ASDL,Amsterdam Lelylaan,50031.0,52.357776641846,4.8338890075684
HFD,Hoofddorp,79590.4375,52.293334960938,4.7005553245544
LLS,Lelystad Centrum,75070.875,52.507778167725,5.4727778434753
ALMO,Almere Oostvaarders,32945.25,52.403331756592,5.3005557060242
ALMB,Almere Buiten,54666.25,52.394165039062,5.2780556678772
ALMP,Almere Parkwijk,32945.25,52.376667022705,5.244722366333
ALM,Almere Centrum,138179.875,52.37503,5.21764
ALMM,Almere Muziekwijk,46365.875,52.367500305176,5.1902775764465
AMPO,Almere Poort,46365.875,52.342778,5.151944
WP,Weesp,62722.6875,52.3127784729,5.0430555343628
DMNZ,Diemen Zuid,29314.1875,52.330276489258,4.9558334350586
DVD,Duivendrecht,109959.0625,52.323333740234,4.9363889694214
RAI,Amsterdam RAI,28919.0625,52.337223052979,4.8902778625488
ASDZ,Amsterdam Zuid,182434.1875,52.338889,4.872356
ES,Enschede,39649.8125,52.222499847412,6.8899998664856
HGL,Hengelo,45507.8125,52.261665344238,6.7938890457153
AML,Almelo,56557.6875,52.358055114746,6.6538887023926
DV,Deventer,96467.0625,52.257499694824,6.1605553627014
APD,Apeldoorn,61375.125,52.209167480469,5.9702777862549
AMF,Amersfoort Centraal,186802.4375,52.153888702393,5.3705554008484
GVC,Den Haag Centraal,231232.5,52.080276489258,4.3249998092651
BRN,Baarn,32570.5625,52.208332061768,5.2808332443237
HVS,Hilversum,113518.6875,52.225833892822,5.1819443702698
HVSM,Hilversum Media Park,29368.6875,52.238056182861,5.1738886833191
BSMZ,Bussum Zuid,29368.6875,52.26583480835,5.1630554199219
NDB,Naarden-Bussum,42789.3125,52.280277252197,5.1569442749023
DMN,Diemen,33408.5,52.34515,4.967566
ASSP,Amsterdam Science Park,33360.8125,52.35526,4.94651
ASDM,Amsterdam Muiderpoort,56502.875,52.360553741455,4.9311113357544
DDR,Dordrecht,145041.125,51.807220458984,4.668333530426
ZWD,Zwijndrecht,27863.125,51.814998626709,4.6416668891907
BRD,Barendrecht,27863.125,51.854721069336,4.5533332824707
RLB,Rotterdam Lombardijen,27863.125,51.880001068115,4.531388759613
RTZ,Rotterdam Zuid,27863.125,51.904445648193,4.5102777481079
RTB,Rotterdam Blaak,95288.125,51.920276641846,4.4888887405395
SDM,Schiedam Centrum,95760.375,51.921243812803,4.4089937210083
DTCP,Delft Campus,27508.875,51.990833282471,4.3647222518921
RSW,Rijswijk,27508.875,52.039722442627,4.3191666603088
GVMW,Den Haag Moerwijk,27508.875,52.053890228271,4.3086109161377
AMR,Alkmaar,81360.5,52.63777923584,4.7397222518921
HLO,Heiloo,58426.4375,52.599445343018,4.7005553245544
CAS,Castricum,80480.9375,52.545833587646,4.6586112976074
UTG,Uitgeest,40159.6875,52.521667480469,4.7016668319702
HK,Heemskerk,16588.4375,52.495277404785,4.6869444847107
BV,Beverwijk,19546.4375,52.478332519531,4.6566667556763
DRH,Driehuis,16588.4375,52.442501068115,4.6380553245544
SPTN,Santpoort Noord,16588.4375,52.43388748169,4.6325001716614
SPTZ,Santpoort Zuid,16588.4375,52.419723510742,4.6313886642456
BLL,Bloemendaal,16588.4375,52.404167175293,4.6275000572205
HLM,Haarlem,123455.25,52.38777923584,4.6383333206177
HLMS,Haarlem Spaarnwoude,32543.3125,52.382778167725,4.6730556488037
HWZB,Halfweg-Zwanenburg,32543.3125,52.385935,4.747165
KMA,Krommenie-Assendelft,23571.25,52.49511,4.75417
WM,Wormerveer,23571.25,52.489166259766,4.7922220230103
ZZS,Zaandijk Zaanse Schans,23571.25,52.469165802002,4.8049998283386
KZ,Koog aan de Zaan,23571.25,52.458610534668,4.8055553436279
ASA,Amsterdam Amstel,112544.875,52.346668243408,4.9177780151367
ASB,Amsterdam Bijlmer ArenA,89649.375,52.3122215271,4.9469442367554
ASHD,Amsterdam Holendrecht,23094.375,52.29844,4.95972
AC,Abcoude,23094.375,52.2785,4.977
BKL,Breukelen,36297.0,52.17149,4.9906
WD,Woerden,76725.875,52.084999084473,4.8936109542847
GDG,Gouda Goverwelle,43388.8125,52.014999389648,4.7408332824707
NWK,Nieuwerkerk a/d IJssel,20076.4375,51.965278625488,4.6169443130493
CPS,Capelle Schollevaar,20076.4375,51.954166412354,4.5841665267944
RTA,Rotterdam Alexander,74016.4375,51.951946258545,4.5536112785339
RTN,Rotterdam Noord,20076.4375,51.942222595215,4.4816665649414
HDR,Den Helder,40656.75,52.955276489258,4.7611112594605
HDRZ,Den Helder Zuid,40656.75,52.932498931885,4.7641668319702
ANA,Anna Paulowna,40656.75,52.867221832275,4.8111109733581
SGN,Schagen,45369.25,52.784442901611,4.8052778244019
HWD,Heerhugowaard,59457.5,52.669723510742,4.8227777481079
AMRN,Alkmaar Noord,59457.5,52.643890380859,4.7641668319702
DB,Driebergen-Zeist,55748.625,52.065277099609,5.25861120224
KLP,Veenendaal-De Klomp,38628.0,52.045833587646,5.5738887786865
ED,Ede-Wageningen,80491.5625,52.027778625488,5.6730556488037
AH,Arnhem Centraal,143686.3125,51.985000610352,5.8991665840149
NM,Nijmegen,131826.875,51.843612670898,5.8522224426269
GN,Groningen,52905.375,53.210556030273,6.5647220611572
GERP,Groningen Europapark,21164.875,53.20480027,6.5854178
HRN,Haren,21164.875,53.176109313965,6.6172223091125
ASN,Assen,52905.375,52.991664886475,6.5708332061768
BL,Beilen,18549.4375,52.854721069336,6.5211110115051
HGV,Hoogeveen,18201.4375,52.733890533447,6.4736108779907
MP,Meppel,63428.5625,52.69083404541,6.1975002288818
ZL,Zwolle,151348.5,52.504722595215,6.0919442176819
LW,Leeuwarden,46198.625,53.195835113525,5.7922220230103
GW,Grou-Jirnsum,14922.125,53.088890075684,5.8225002288818
AKM,Akkrum,14922.125,53.046390533447,5.843611240387
HR,Heerenveen,46198.625,52.961387634277,5.9141664505005
WV,Wolvega,14922.125,52.880832672119,6.0036110877991
SWK,Steenwijk,46198.625,52.791510992432,6.1145557632446
HT,'s-Hertogenbosch,165765.8125,51.69048,5.29362
EHV,Eindhoven Centraal,172151.75,51.443332672119,5.4813890457153
WT,Weert,74788.25,51.248611450195,5.7036108970642
RM,Roermond,54650.5,51.193054199219,5.9941668510437
STD,Sittard,65467.5,51.001667022705,5.8586111068726
MT,Maastricht,33973.5,50.850276947021,5.7055554389954
LAA,Den Haag Laan v NOI,95572.25,52.078609466553,4.3427777290344
GVM,Den Haag Mariahoeve,27277.25,52.090557098389,4.3694443702698
VST,Voorschoten,27277.25,52.1252784729,4.4324998855591
DVNK,De Vink,27277.25,52.147220611572,4.4563889503479
SSH,Sassenheim,29096.1875,52.215278,4.517222
NVP,Nieuw Vennep,29096.1875,52.258888244629,4.6455554962158
UTLR,Utrecht Leidsche Rijn,26030.5625,52.09896,5.06523
UTT,Utrecht Terwijde,26030.5625,52.1000753,5.0439547
VTN,Vleuten,26030.5625,52.103056,5.007404
UTO,Utrecht Overvecht,60099.875,52.110000610352,5.1247220039368
HOR,Hollandsche Rading,17474.0625,52.17777633667,5.1791667938232
HVSP,Hilversum Sportpark,28217.375,52.216110229492,5.1872220039368
EHS,Eindhoven Strijp-S,38170.4375,51.451110839844,5.4558334350586
BET,Best,39330.4375,51.509998321533,5.3891668319702
BTL,Boxtel,39620.4375,51.58433,5.31912
VG,Vught,16731.5,51.655555725098,5.2919445037842
HAD,Heemstede-Aerdenhout,84753.25,52.35916519165,4.6066665649414
UTZL,Utrecht Zuilen,20403.4375,52.103055,5.09
MAS,Maarssen,20430.6875,52.135276794434,5.0336112976074
VB,Voorburg,23312.375,52.066665649414,4.3594446182251
YPB,Den Haag Ypenburg,23312.375,52.055278778076,4.39222240448
ZTM,Zoetermeer,23312.375,52.047500610352,4.4772224426269
ZTMO,Zoetermeer Oost,23312.375,52.046390533447,4.4927778244019
LLZM,Lansingerland-Zoetermeer,23312.375,52.042222,4.517222
UTVR,Utrecht Vaartsche Rijn,53895.4375,52.078889,5.121667
UTLN,Utrecht Lunetten,34614.3125,52.06555557251,5.144166469574
HTN,Houten,34614.3125,52.03402,5.16821
HTNC,Houten Castellum,36698.9375,52.01701,5.17949
CL,Culemborg,32529.6875,51.946666717529,5.2269444465637
GDM,Geldermalsen,32529.6875,51.88301,5.27127
ZBM,Zaltbommel,16336.375,51.80888748169,5.2633333206177
MZ,Maarheeze,20137.75,51.30376236035,5.6303429603577
HZE,Heeze,20137.75,51.384998321533,5.5694446563721
GP,Geldrop,20137.75,51.419723510742,5.5505557060242
OT,Oisterwijk,21438.9375,51.582221984863,5.1941666603088
TB,Tilburg,108112.375,51.560554504395,5.0836110115051
TBU,Tilburg Universiteit,38222.375,51.564985,5.051778
VS,Vlissingen,36946.0,51.445835113525,3.5952777862549
VSS,Vlissingen Souburg,35525.0,51.464721679688,3.5952777862549
MDB,Middelburg,36946.0,51.494720458984,3.6172223091126
ARN,Arnemuiden,35525.0,51.501667022705,3.6691665649414
GS,Goes,36946.0,51.498054504395,3.8905556201935
BZL,Kapelle-Biezelinge,35525.0,51.480834960938,3.9561111927033
KRG,Kruiningen-Yerseke,35525.0,51.465000152588,4.0372223854065
KBD,Krabbendijke,35525.0,51.433334350586,4.1169443130493
RB,Rilland-Bath,35525.0,51.422779083252,4.1611108779907
BGN,Bergen op Zoom,38396.0,51.49388885498,4.2961111068726
