id,code,uic,name_long,slug,country,type,geo_lat,geo_lng,cities,tot_pop
453,TB,8400597,Tilburg,tilburg,NL,knooppuntIntercitystation,51.560554504395,5.0836110115051,['Tilburg'],1944588
43,ASD,8400058,Amsterdam Centraal,amsterdam-centraal,NL,megastation,52.378887176514,4.9002776145935,['Amsterdam'],917923
410,RTB,8400529,Rotterdam Blaak,rotterdam-blaak,NL,stoptreinstation,51.920276641846,4.4888887405395,"['Rotterdam', 'Kralingse Veer']",666722
214,GVC,8400282,Den Haag Centraal,den-haag-centraal,NL,megastation,52.080276489258,4.3249998092651,"['The Hague', 'Scheveningen']",607170
470,UTM,8400624,Utrecht Maliebaan,utrecht-maliebaan,NL,stoptreinstation,52.087776184082,5.1313886642456,['Utrecht'],359370
422,SDM,8400553,Schiedam Centrum,schiedam-centrum,NL,stoptreinstation,51.921243812803,4.4089937210083,"['Schiedam', 'Vlaardingen', 'Spijkenisse', 'Hellevoetsluis', 'Hoogvliet', 'Rozenburg', 'Pernis', 'Poortugaal']",319785
168,EHV,8400206,Eindhoven Centraal,eindhoven-centraal,NL,megastation,51.443332672119,5.4813890457153,"['Eindhoven', 'Waalre']",261274
529,ZD,8400731,Zaandam,zaandam,NL,knooppuntIntercitystation,52.438888549805,4.8136110305786,"['Zaanstad', 'Zaandam']",235583
204,GN,8400263,Groningen,groningen,NL,knooppuntIntercitystation,53.210556030273,6.5647220611572,['Groningen'],233273
17,ALM,8400080,Almere Centrum,almere-centrum,NL,knooppuntIntercitystation,52.37503,5.21764,['Almere'],214715
61,BD,8400131,Breda,breda,NL,knooppuntIntercitystation,51.595554351807,4.7800002098083,"['Breda', 'Raamsdonksveer']",196596
308,LEDN,8400390,Leiden Centraal,leiden-centraal,NL,knooppuntIntercitystation,52.166110992432,4.4816665649414,"['Leiden', 'Leiderdorp', 'Oegstgeest', 'Valkenburg']",182809
355,NM,8400470,Nijmegen,nijmegen,NL,knooppuntIntercitystation,51.843612670898,5.8522224426269,['Nijmegen'],177359
9,AHP,8400072,Arnhem Velperpoort,arnhem-velperpoort,NL,stoptreinstation,51.985279083252,5.9194445610046,['Arnhem'],164096
244,HLM,8400285,Haarlem,haarlem,NL,knooppuntIntercitystation,52.38777923584,4.6383333206177,['Haarlem'],162543
266,HT,8400319,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation,51.69048,5.29362,"['’s-Hertogenbosch', 'Vlijmen']",160063
178,ES,8400212,Enschede,enschede,NL,knooppuntIntercitystation,52.222499847412,6.8899998664856,['Enschede'],159703
23,AMF,8400055,Amersfoort Centraal,amersfoort-centraal,NL,knooppuntIntercitystation,52.153888702393,5.3705554008484,['Amersfoort'],157462
483,VH,8400655,Voorhout,voorhout,NL,stoptreinstation,52.224445343018,4.4844446182251,"['Katwijk', 'Noordwijk', 'Teijlingen']",148460
31,APD,8400066,Apeldoorn,apeldoorn,NL,knooppuntIntercitystation,52.209167480469,5.9702777862549,['Apeldoorn'],138945
532,ZL,8400747,Zwolle,zwolle,NL,knooppuntIntercitystation,52.504722595215,6.0919442176819,['Zwolle'],129840
321,LW,8400387,Leeuwarden,leeuwarden,NL,knooppuntIntercitystation,53.195835113525,5.7922220230103,"['Leeuwarden', 'Goutum']",127791
536,ZTMO,8400740,Zoetermeer Oost,zoetermeer-oost,NL,stoptreinstation,52.046390533447,4.4927778244019,['Zoetermeer'],125267
232,HFD,8400332,Hoofddorp,hoofddorp,NL,stoptreinstation,52.293334960938,4.7005553245544,"['Hoofddorp', 'Aalsmeer', 'Kudelstaart', 'Rijsenhout']",123229
